timestamp,acc_x,acc_y,acc_z,magn_x,magn_y,magn_z,gyro_x,gyro_y,gyro_z
1669997456.879854,-10.957,0.501,1.258,-0.0665,-0.22890000000000002,-0.0077,-0.025,0.034,-0.004
1669997456.919854,-10.888,0.48,1.313,-0.06670000000000001,-0.2288,-0.0068000000000000005,-0.019,0.022,-0.005
1669997456.959854,-10.911,0.516,1.295,-0.06810000000000001,-0.22920000000000001,-0.0064,-0.014,0.016,0.001
1669997456.9998538,-10.941,0.497,1.314,-0.0679,-0.227,-0.0064,0.0,0.028,0.0
1669997457.039854,-10.952,0.403,1.286,-0.0669,-0.22760000000000002,-0.0049,-0.009000000000000001,0.045,0.003
1669997457.079854,-10.899000000000001,0.41200000000000003,1.258,-0.067,-0.2283,-0.0068000000000000005,-0.04,0.039,0.014
1669997457.119854,-10.951,0.445,1.231,-0.0661,-0.2291,-0.0059,-0.042,0.047,0.027
1669997457.159854,-10.902000000000001,0.491,1.315,-0.0673,-0.228,-0.0061,0.001,0.035,-0.003
1669997457.199854,-10.885,0.5720000000000001,1.349,-0.0661,-0.2311,-0.006500000000000001,0.025,0.035,-0.006
1669997457.2398539,-10.939,0.398,1.252,-0.06810000000000001,-0.2291,-0.0056,-0.004,0.041,0.023
1669997457.279854,-10.909,0.393,1.264,-0.0665,-0.22840000000000002,-0.0057,-0.048,0.043000000000000003,0.027
1669997457.319854,-10.961,0.533,1.272,-0.0654,-0.2318,-0.0034000000000000002,-0.031,0.038,0.003
1669997457.359854,-10.909,0.546,1.248,-0.0661,-0.22990000000000002,-0.0056,0.0,0.036000000000000004,-0.006
1669997457.399854,-10.918000000000001,0.502,1.234,-0.0695,-0.2296,-0.0057,-0.007,0.017,0.002
1669997457.439854,-10.906,0.442,1.264,-0.0697,-0.23140000000000002,-0.0057,-0.013000000000000001,0.012,0.002
1669997457.4798539,-10.915000000000001,0.498,1.297,-0.0675,-0.2288,-0.0094,-0.006,0.012,-0.001
1669997457.519854,-10.963000000000001,0.47500000000000003,1.309,-0.0695,-0.22790000000000002,-0.0193,-0.009000000000000001,0.023,0.008
1669997457.559854,-10.861,0.505,1.332,-0.0687,-0.2306,-0.0054,-0.022,0.027,0.012
1669997457.599854,-10.905,0.502,1.34,-0.06760000000000001,-0.2272,0.00030000000000000003,-0.011,0.024,-0.001
1669997457.639854,-10.938,0.383,1.2790000000000001,-0.0689,-0.2293,-0.0054,-0.01,0.035,-0.011
1669997457.679853,-10.889,0.384,1.327,-0.0664,-0.22410000000000002,-0.0068000000000000005,-0.041,0.024,0.002
1669997457.719853,-10.914,0.47300000000000003,1.327,-0.0684,-0.22940000000000002,-0.0048000000000000004,-0.06,0.009000000000000001,0.007
1669997457.759853,-10.924,0.483,1.343,-0.07050000000000001,-0.2268,-0.003,-0.03,0.013000000000000001,0.0
1669997457.7998528,-10.918000000000001,0.446,1.362,-0.0656,-0.22920000000000001,-0.003,-0.007,0.029,-0.004
1669997457.839853,-10.906,0.38,1.328,-0.0698,-0.2277,-0.0046,-0.003,0.022,-0.002
1669997457.879853,-10.884,0.377,1.365,-0.06810000000000001,-0.2313,-0.0039000000000000003,-0.026000000000000002,0.045,0.021
1669997457.919853,-10.987,0.5750000000000001,1.367,-0.067,-0.22740000000000002,-0.0014,-0.035,0.058,0.055
1669997457.959853,-10.902000000000001,0.453,1.298,-0.0671,-0.229,-0.0038,-0.001,0.064,0.042
1669997457.999853,-10.884,0.582,1.2630000000000001,-0.0653,-0.2298,-0.007,0.019,0.056,0.021
1669997458.0398529,-10.917,0.512,1.211,-0.0678,-0.2293,-0.0046,-0.002,0.048,0.023
1669997458.079853,-10.934000000000001,0.501,1.245,-0.068,-0.2308,-0.0051,-0.04,0.044,0.026000000000000002
1669997458.119853,-10.976,0.584,1.237,-0.067,-0.23220000000000002,-0.006,-0.043000000000000003,0.047,0.012
1669997458.159853,-10.917,0.581,1.2610000000000001,-0.0684,-0.22920000000000001,-0.0038,-0.026000000000000002,0.042,-0.004
1669997458.199853,-10.886000000000001,0.606,1.274,-0.0684,-0.2293,-0.0067,-0.011,0.024,-0.007
1669997458.239853,-10.942,0.492,1.233,-0.06720000000000001,-0.2277,-0.0048000000000000004,0.004,0.015,-0.004
1669997458.2798529,-10.924,0.492,1.304,-0.06570000000000001,-0.231,-0.0048000000000000004,0.015,0.025,0.008
1669997458.319853,-10.94,0.455,1.297,-0.0673,-0.22920000000000001,-0.0037,0.011,0.028,0.011
1669997458.359853,-10.918000000000001,0.481,1.315,-0.06620000000000001,-0.22990000000000002,-0.004200000000000001,0.005,0.029,0.011
1669997458.399853,-10.972,0.515,1.274,-0.0684,-0.23070000000000002,-0.0038,0.009000000000000001,0.04,0.009000000000000001
1669997458.439853,-10.964,0.419,1.204,-0.0679,-0.22940000000000002,-0.0057,0.012,0.048,-0.005
1669997458.479853,-10.869,0.504,1.24,-0.0645,-0.22840000000000002,-0.0064,-0.013000000000000001,0.008,-0.009000000000000001
1669997458.5198529,-10.824,0.468,1.303,-0.0684,-0.2291,-0.0046,-0.038,0.009000000000000001,-0.001
1669997458.559853,-10.927,0.555,1.274,-0.06620000000000001,-0.22890000000000002,-0.007200000000000001,-0.022,-0.004,-0.012
1669997458.599853,-10.934000000000001,0.516,1.288,-0.0703,-0.2298,-0.0049,-0.005,0.002,-0.009000000000000001
1669997458.639853,-10.905,0.468,1.325,-0.063,-0.22870000000000001,-0.0034000000000000002,-0.005,0.0,-0.005
1669997458.679853,-10.888,0.49,1.3920000000000001,-0.0684,-0.23090000000000002,-0.0031000000000000003,0.005,0.011,-0.009000000000000001
1669997458.719852,-10.864,0.46900000000000003,1.437,-0.066,-0.22940000000000002,-0.0056,0.0,0.016,0.0
1669997458.759852,-11.006,0.47800000000000004,1.3920000000000001,-0.0655,-0.2275,-0.0018000000000000002,0.002,0.054,0.035
1669997458.799852,-10.914,0.42,1.442,-0.069,-0.229,-0.0043,-0.008,0.06,0.021
1669997458.8398519,-10.893,0.536,1.377,-0.0645,-0.2278,-0.0058000000000000005,-0.022,0.066,-0.005
1669997458.879852,-10.92,0.456,1.328,-0.0664,-0.2277,-0.0044,-0.037,0.07,-0.017
